id,current_word_id,next_word_id,occurrence
1,10,38,2
2,17,23525,23
3,17,32827,28
4,62,1746,6
5,62,3155,23
6,62,4508,4965
7,62,4626,1205
8,62,5411,3
9,62,5749,216
10,62,5751,412
11,62,6380,382
12,62,8728,6
13,62,9122,50
14,62,9175,5
15,62,9729,43
16,62,11548,64
17,62,11552,9
18,62,12151,25
19,62,13931,69
20,62,14367,37571
21,62,14492,12322
22,62,15175,47
23,62,15414,4
24,62,15420,1465
25,62,15696,173
26,62,17048,556
27,62,17670,4
28,62,18825,14
29,62,19033,1256
30,62,19647,134
31,62,21254,1557
32,62,21270,46
33,62,22465,9
34,62,22768,18
35,62,25678,36
36,62,29232,737
37,62,29354,32
38,62,29355,12
39,62,29836,95
40,62,29839,23923
41,62,29944,77
42,62,30239,17938
43,62,31447,375
44,62,31734,19
45,62,32437,6
46,62,32995,201
47,62,34746,545
48,62,34910,26
49,62,35553,22
50,62,35641,19
51,62,36303,53
52,62,36304,9
53,62,37237,6443
54,62,37823,100
55,62,37894,67
56,62,39038,4530
57,62,39041,243
58,62,39860,30
59,62,39985,333
60,62,40115,242
61,62,40157,36
62,62,40284,102
63,62,40957,9
64,62,40978,4
65,62,41341,8
66,62,41406,269
67,62,42013,9219
68,62,42060,7127
69,62,42271,21
70,62,42543,10
71,62,44748,3
72,62,45024,49
73,62,45114,967
74,62,46536,5
75,62,46684,45
76,62,46790,12
77,62,46883,2545
78,62,47301,1742
79,62,47494,11
80,62,47524,14
81,62,47548,223
82,62,48055,83
83,62,48210,415
84,62,49009,7
85,62,49288,369
86,62,49993,6
87,62,50033,33
88,62,50903,396
89,62,51842,38
90,62,52185,808
91,62,52296,2753
92,62,53593,11479
93,62,53602,8979
94,62,55019,13
95,62,55076,119
96,62,55144,283
97,62,55621,14
98,62,57249,985
99,75,30239,17938
100,75,48199,2231
101,75,55422,17012
102,79,55422,17011
103,84,37237,6439
104,89,55422,17011
105,90,48199,2231
106,93,29839,23923
107,93,36767,4776
108,104,42036,591
109,113,29836,88
110,117,15970,7142
111,180,14492,12322
112,193,9605,523
113,193,18908,10653
114,193,21200,1154
115,193,29839,23923
116,193,30280,16025
117,193,36890,425
118,193,44042,14
119,193,46852,184
120,193,46883,2544
121,193,53602,8974
122,193,54293,728
123,193,54894,481
124,199,37237,6438
125,230,37237,6438
126,233,12442,521
127,244,20356,18632
128,252,48199,2231
129,276,3048,8
130,294,20356,18632
131,294,37237,6438
132,294,42013,9219
133,294,45114,961
134,294,47934,31
135,389,14367,37568
136,411,1670,12
137,427,52296,2749
138,433,30239,17938
139,452,8773,4702
140,454,29839,23923
141,454,53602,8974
142,475,55105,99
143,507,37676,371
144,525,55422,17011
145,527,14225,83
146,530,31118,1206
147,533,48807,3360
148,533,53593,11476
149,545,8787,551
150,546,14367,37568
151,547,37237,6438
152,552,45114,961
153,554,53593,11476
154,601,54293,728
155,604,39752,5335
156,617,30239,17938
157,617,49229,1022
158,630,4508,4965
159,631,4508,4965
160,631,55422,17011
161,675,4820,3026
162,676,18908,10653
163,693,18908,10653
164,717,14367,37568
165,735,29839,23923
166,752,14225,83
167,763,15654,525
168,763,53602,8974
169,769,15505,218
170,769,52286,963
171,769,53602,8974
172,782,14367,37568
173,784,14367,37568
174,785,31249,946
175,786,8943,1661
176,803,14367,37568
177,864,14367,37568
178,866,20356,18632
179,868,41151,6
180,873,34643,5308
181,873,42013,9220
182,886,20356,18632
183,911,29133,23
184,911,36767,4776
185,976,35469,2
186,980,4508,4965
187,980,20356,18632
188,980,55422,17011
189,981,4749,1990
190,981,20356,18632
191,987,30156,23
192,995,14225,83
193,1015,37059,178
194,1035,29839,23923
195,1042,30239,17938
196,1055,14492,12322
197,1055,48199,2231
198,1087,53593,11476
199,1095,2088,795
200,1096,36767,4776
201,1149,20356,18632
202,1157,20356,18632
203,1207,7693,159
204,1207,14367,37568
205,1207,55422,17012
206,1210,14367,37568
207,1210,29715,12
208,1210,42060,7127
209,1211,36767,4776
210,1245,39752,5335
211,1272,53602,8974
212,1295,29839,23923
213,1295,30239,17938
214,1345,14367,37568
215,1353,14367,37568
216,1358,34012,479
217,1358,42013,9219
218,1358,45588,169
219,1358,48711,47
220,1359,17426,1
221,1361,3392,65
222,1361,30317,1593
223,1361,35106,20
224,1361,51349,1047
225,1386,14492,12322
226,1391,14367,37572
227,1391,42013,9222
228,1418,36270,2957
229,1423,15226,12
230,1430,4508,4965
231,1434,51903,338
232,1440,14638,521
233,1444,42060,7127
234,1485,5950,1968
235,1493,14367,37568
236,1493,15654,525
237,1493,15970,7142
238,1495,4820,3026
239,1496,4508,4965
240,1496,30280,16025
241,1496,48199,2231
242,1502,51903,339
243,1505,29564,6
244,1507,20356,18632
245,1507,30239,17938
246,1510,24563,23
247,1532,20356,18632
248,1585,20356,18633
249,1585,30239,17938
250,1622,454,21
251,1622,2275,24
252,1622,3191,60
253,1622,4626,1204
254,1622,5950,1970
255,1622,6380,382
256,1622,7405,22
257,1622,7551,9
258,1622,11580,67
259,1622,13246,3
260,1622,14367,37569
261,1622,14492,12322
262,1622,15420,1462
263,1622,16392,23
264,1622,17048,555
265,1622,19647,133
266,1622,19935,138
267,1622,20375,303
268,1622,21196,49
269,1622,21254,1557
270,1622,28885,13
271,1622,29232,736
272,1622,29309,6349
273,1622,29356,4
274,1622,29553,34
275,1622,29836,88
276,1622,29945,15
277,1622,31734,18
278,1622,32094,25
279,1622,34410,2412
280,1622,36303,52
281,1622,37237,6449
282,1622,37331,228
283,1622,37739,57
284,1622,37823,100
285,1622,38151,183
286,1622,38585,35
287,1622,38921,8
288,1622,39038,4530
289,1622,39126,452
290,1622,39985,333
291,1622,40115,241
292,1622,40117,85
293,1622,40501,29
294,1622,41406,268
295,1622,41969,996
296,1622,42121,36
297,1622,43799,25
298,1622,44004,31
299,1622,44206,7
300,1622,45055,9
301,1622,45114,963
302,1622,48637,27
303,1622,52296,2749
304,1622,53157,96
305,1622,53602,8974
306,1622,55076,118
307,1622,55144,284
308,1622,55919,109
309,1622,57249,980
310,1623,15970,7142
311,1629,14225,83
312,1629,14367,37568
313,1629,15970,7142
314,1629,35061,3082
315,1629,55422,17011
316,1634,55422,17013
317,1635,52185,808
318,1635,55422,17011
319,1653,57249,978
320,1654,23099,110
321,1654,42034,482
322,1677,52233,9
323,1686,8334,418
324,1694,55422,17011
325,1696,10167,11
326,1696,14225,83
327,1696,20356,18632
328,1696,34643,5307
329,1696,34864,38
330,1696,38831,2
331,1696,55422,17011
332,1696,57036,13
333,1700,14299,7487
334,1703,25572,238
335,1703,48263,2110
336,1708,4627,118
337,1708,5751,411
338,1709,38097,497
339,1713,14225,83
340,1714,37237,6438
341,1715,5751,412
342,1715,14367,37568
343,1715,22610,213
344,1715,30239,17938
345,1715,36767,4776
346,1715,37237,6438
347,1715,39038,4530
348,1715,51085,339
349,1723,5751,413
350,1723,30239,17938
351,1723,30280,16026
352,1723,32409,2324
353,1723,32769,332
354,1723,37237,6439
355,1723,43529,96
356,1724,30593,76
357,1725,52185,808
358,1726,50897,45
359,1728,5751,411
360,1729,5751,412
361,1729,55422,17011
362,1730,5751,411
363,1730,52185,808
364,1733,5751,411
365,1734,5751,411
366,1736,53593,11476
367,1737,37237,6438
368,1744,14299,7487
369,1744,20356,18632
370,1748,4360,98
371,1748,4508,4965
372,1748,12231,1
373,1748,14624,1509
374,1748,16579,5
375,1748,29836,89
376,1748,29839,23926
377,1748,30239,17938
378,1748,30321,834
379,1748,34910,26
380,1748,37330,12
381,1748,37676,372
382,1748,42013,9225
383,1748,46216,28
384,1748,47773,5033
385,1748,48807,3359
386,1748,54960,16
387,1748,55278,10
388,1748,55422,17014
389,1749,1230,3
390,1749,4730,246
391,1749,8244,63
392,1749,9278,15
393,1749,12254,22
394,1749,14225,85
395,1749,14299,7487
